logged,league,date,home,away,pick,model_p,market_p,odds_taken
15/08/2026 15:48 UTC,Championship,15/08/2026,Sheffield United,Birmingham,Home,0.477,0.38,2.45
15/08/2026 15:48 UTC,Championship,16/08/2026,Watford,Southampton,Away,0.53,0.411,2.25
16/08/2026 06:40 UTC,Championship,16/08/2026,Watford,Southampton,Away,0.53,0.411,2.25
16/08/2026 18:01 UTC,Championship,17/08/2026,Cardiff,Wrexham,Away,0.391,0.33,2.82
17/08/2026 06:56 UTC,Championship,17/08/2026,Cardiff,Wrexham,Away,0.391,0.33,2.82
22/08/2026 06:40 UTC,Championship,22/08/2026,Birmingham,Bristol City,Away,0.275,0.213,4.33
22/08/2026 06:40 UTC,Championship,22/08/2026,Lincoln,Portsmouth,Home,0.449,0.393,2.35
22/08/2026 06:40 UTC,Championship,22/08/2026,Preston,Wolves,Home,0.566,0.22,4.2
22/08/2026 06:40 UTC,Championship,22/08/2026,QPR,Bolton,Away,0.465,0.246,3.75
22/08/2026 06:40 UTC,Championship,22/08/2026,Swansea,Sheffield United,Away,0.368,0.328,2.82
22/08/2026 06:40 UTC,Championship,22/08/2026,West Ham,Charlton,Home,0.985,0.691,1.33
22/08/2026 06:40 UTC,Championship,22/08/2026,Wrexham,Watford,Away,0.282,0.233,4.0
22/08/2026 06:40 UTC,Championship,23/08/2026,West Brom,Burnley,Away,0.512,0.377,2.45
22/08/2026 06:40 UTC,League One,22/08/2026,Stevenage,Oxford,Away,0.384,0.321,2.85
22/08/2026 06:40 UTC,League One,22/08/2026,Stockport,Blackpool,Away,0.264,0.166,5.5
22/08/2026 06:40 UTC,League One,22/08/2026,Wigan,Leyton Orient,Away,0.334,0.281,3.25
22/08/2026 06:40 UTC,League One,22/08/2026,Wycombe,Plymouth,Away,0.374,0.34,2.7
22/08/2026 06:40 UTC,League One,22/08/2026,Milton Keynes Dons,Huddersfield,Home,0.411,0.356,2.57
22/08/2026 06:40 UTC,League One,22/08/2026,Bromley,Cambridge,Home,0.686,0.346,2.65
22/08/2026 06:40 UTC,League One,22/08/2026,Doncaster,Barnsley,Away,0.366,0.264,3.5
22/08/2026 06:40 UTC,League One,22/08/2026,Luton,Notts County,Away,0.255,0.183,5.0
22/08/2026 06:40 UTC,League One,22/08/2026,AFC Wimbledon,Reading,Away,0.455,0.355,2.57
22/08/2026 06:40 UTC,League One,22/08/2026,Leicester,Burton,Draw,0.267,0.218,4.2
22/08/2026 06:40 UTC,League Two,22/08/2026,Bristol Rvs,Newport County,Away,0.272,0.175,5.25
22/08/2026 06:40 UTC,League Two,22/08/2026,Salford,Chesterfield,Away,0.334,0.24,3.8
22/08/2026 06:40 UTC,League Two,22/08/2026,Exeter,Accrington,Away,0.328,0.246,3.75
22/08/2026 06:40 UTC,League Two,22/08/2026,Colchester,Oldham,Away,0.39,0.347,2.65
22/08/2026 06:40 UTC,League Two,22/08/2026,Crewe,Northampton,Draw,0.356,0.272,3.4
22/08/2026 06:40 UTC,League Two,22/08/2026,Rochdale,Crawley Town,Away,0.551,0.229,4.0
22/08/2026 06:40 UTC,League Two,22/08/2026,Rotherham,York,Away,0.775,0.339,2.7
22/08/2026 06:40 UTC,League Two,22/08/2026,Shrewsbury,Barnet,Away,0.543,0.497,1.86
22/08/2026 06:40 UTC,League Two,22/08/2026,Swindon,Cheltenham,Away,0.264,0.221,4.2
23/08/2026 06:41 UTC,Championship,23/08/2026,West Brom,Burnley,Away,0.512,0.377,2.45
